-114.75   68.00    1.00 
-114.75   55.00    2.00 
-114.75   52.00    3.00 
-114.75   42.00    4.00 
-114.75   48.00    5.00 
-114.74   57.00    6.00 
-114.74   52.00    7.00 
-114.74   50.00    8.00 
-114.74   55.00    9.00 
-114.74   55.00   10.00 
-113.94   39.00   11.00 
-113.93   48.00   12.00 
-112.77   51.00   13.00 
-111.91   58.51   16.35 
-111.91   57.00   17.35 
-111.89   43.54   20.27 
-111.77   59.00   21.27 
-107.75   49.68   24.37 
-107.72   56.00   25.37 
-104.91   36.67   25.67 
-104.90   39.00   26.67 
-104.90   69.00   27.67 
-104.76   12.00   27.75 
-104.76   24.00   27.83 
-104.76   52.06   30.10 
-104.76   55.00   31.10 
-103.08   57.00   32.10 
-103.08   53.00   33.10 
-103.08   47.14   33.57 
-103.07   60.00   34.57 
-103.07   60.00   34.82 
-102.81   37.50   35.08 
-102.80   60.00   35.33 
-102.80   64.00   35.58 
-102.80   38.95   36.53 
-102.79   45.84   38.02 
-102.79   60.00   38.27 
-102.79   64.00   38.52 
-102.79   36.00   39.27 
-102.78    0.00   39.32 
-102.78   20.00   39.87 
-102.78   56.00   40.12 
-102.77   24.00   40.37 
-102.68   60.00   40.62 
-102.68   40.00   41.67 
-102.67   48.00   41.92 
-102.67   16.00   42.17 
-102.67   32.00   42.42 
-102.67   60.00   42.67 
-102.67   45.00   43.20 
-102.66   37.06   43.77 
-102.66   64.00   44.02 
-102.66   56.00   44.27 
-102.66   56.00   44.52 
-102.66   45.88   45.65 
-102.66   20.00   45.70 
-102.66   20.00   45.95 
-102.10   56.00   46.20 
 -99.96   43.00   49.20 
 -52.05   69.00   50.20 
 -51.99   33.00   50.53 
 -51.07   54.00   50.87 
 -51.06   51.00   51.20 
 -51.06   54.00   51.53 
 -50.99   57.00   52.53 
 -50.84   48.00   53.53 
 -50.83   55.00   54.53 
 -50.83   48.00   55.53 
 -50.83   49.00   56.53 
 -50.83   54.00   57.53 
 -42.07   39.00   58.53 
  -0.98   44.00   59.53 
